id_review,business_id,stars,review_date,text_review,positive_sentiment,neutral_sentiment,negative_sentiment,negativ_sentiment
21491,1,2,2017-01-10,"Tried Wendy's again this afternoon.  It's winter, it's always freezing in there.  We asked for the heat to be turned up, it wasn't, we asked the guy to turn it up again and he said he told the manager and she said no.  We said we'd talk to her boss and the guy said her boss was there as well and he didn't care either.  So I said I'd talk to corporate.  Sent them an email when I got home and will follow up tomorrow with a phone call.  Needless to say we won't be going back there.  Tables are still being swiped with a dirty rag and are still dirty.",0,1,0,0
21492,7,1,2017-11-11,Tick tock tick tock... oh. my. goodness. This place is beyond slow! We were in the drive thru for 20 miniutes. And that was just to order! You're just diffrent putting things in a to go container. How hard can it be that it takes so dang long? Defintly not coming back. The food ended up being cold too. Sad and disappointed. Me and my friend are still tollite.,0,1,0,0
21493,6,5,2017-06-19,Oh my goodness what would a trip to the Old Pueblo be without a trip - pilgramage as it were - to eegee's.  Got to have that fruity frosty ambrosia that only Tucson has.  This place is the best and if not driving do yourself a favor and add rum.,1,0,0,0
21494,3,4,2018-09-16,It's a KFC. I happen to love their food. What differentiates this location are the employees. They were constantly cleaning and keeping the buffet fresh and full. They were all pleasant and helpful. If I have any complaint it's the sporks. I really do dislike them. I would recommend this location to anyone. Job well done people.,1,0,0,0
21495,14,2,2017-01-19,"I haven't been to A & W in year so I thought I would change it up a bit. 
The fries were hot, but soggy. The burger was good, also hot, but extremely over seasoned! I think I'll be chugging water for the next 24hrs based on the saltiness of that burger! Wowza!",1,0,0,0
21496,3,1,2017-03-09,"I was so happy to find a KFC buffet because I love the food and it brings back memories of when my grandma used to take me to a KFC buffet. This location is terrible. They could not keep up with the buffet and I had to wait over 20 minutes for them to bring gravy out. When they finally did bring the gravy out it was not normal, it was runny. They were out of other things as well and several people were Standing around waiting for food. The food they did have on the buffet was clearly old. The women's bathroom had nasty toilet paper wadded up in the corner and the mens had a huge puddle of what I assume is water. My boyfriend could not use the bathroom because there was so much standing water. A previous yelp review states that they had this issue 8 months ago and it clearly hasn't been fixed. Don't go here.",1,0,0,0
21497,2,5,2016-08-08,"I live this crazy chicken.  Probably the cleanest, freshest and friendliest location I have been too in Reno.  Even when it's busy they handle it very well.",1,0,0,0
21498,8,1,2016-04-18,"Don't expect any pleasantries
Heck, don't expect much at all.
Definitely not a ""Thank You for your order"", or any smiles or additional service or gratitude for your patronage.  If I could prepare you to expect anything, I'd say be ready for a run-down dilapidated franchise with ratty duct-taped chairs run by a skeleton crew of disgruntled minimum-waged part timers.  How could this system be improved? will the proposed minimum wage  hike improve friendliness and morale? Perhaps.  But for now, I just want to grab this mcmuffin and get outta here",1,0,0,0
21499,8,2,2018-03-16,"Bought a happy meal for my daughter through the app. They didn't honor the paid meal. I presented the receipt, they wanted no parts. They let me drive away empty handed with no meal. The customer should not be paying for the lack of communication with their partner. They could have comped under the circumstances until their communication problem was resolved.",0,1,0,0
21500,3,1,2018-01-28,"Aperenlty these people don't k ow the difference between potatoes wedges and mashed potatoes!
The mashed taters here are gross... how disappointing... girl at drive thru was sweet the one she asked to put wedges in my order was rude. And probably did it on purpose! Well this is my last time at your KFC",1,0,0,0
21501,6,1,2018-03-19,"no wonder why they only have this food chain in tucson!
way too expensive, over price!
for a footlong sub, 2 hotdogs and two popular shaved drink fo $19!
no thank you!",1,0,0,0
21502,9,1,2017-08-21,"Took 40 minutes to get a luke warm pizza, reordered and waited  for 45 mintues, called them, they said out for delivery. Waited another 15 mintues still no pie.  Called and asked for a refund.  Was told it will take two days to get my money back.",0,1,0,0
21503,11,4,2016-11-27,"Great food and friendly service! Husband and I were starving after a long flight, and these guys were quick to serve us. Highly recommend swinging by for some awesome subs!",1,0,0,0
21504,7,4,2016-01-12,Good food and friendly yet it took a while to get served. Nice new restaurant with plenty of parking and easy access to freeway.,1,0,0,0
21505,8,1,2018-07-22,Its 11:46 am and the out buttermilk crispy tenders.... BAD MANAGEMENT ... need a New MANAGER,0,1,0,0
21506,9,2,2017-01-05,"Delivery is always iffy with this place, this time I ordered extra pepperoni and Italian sausage and barely got regular of either literally 1-2 pepperonis on 1 slice and same with sausage maybe 1-3 crumbles on each slice hardly extra I did call them and told them the mistake and they gave me a $10 credit",1,0,0,0
21507,7,2,2018-08-30,"Panda Express is hands down my favorite fast food restaurant. I've never had a bad experience with Panda before. I decided to go through drive thru just to switch it up but that was a mistake. As we drove up, the worker said the usual but then she went silence for a couple minutes. She came back and apologized but went silent once again. We ordered our food and she never repeated the order back. We drove up to the window and the lady mumbled the price. She gave us the food in a bag but here's the catch, I ordered two bowls and she gave me one. They did only charge me for one and the first worker didn't say the cost and the other simply mumbled. She closed the window and we drove off. Not surprised that they have two stars :p",1,0,0,0
21508,11,2,2016-07-10,Makes me sad to do this... But if everything says u r open until 9 stay open until 9... If not put ???? Would give it 5 stars but this pissed me off. I usually get the turkey bacon guacamole on wheat with a side of peperoncinis and their honey mustard.,0,1,0,0
21509,4,1,2018-09-12,"OHMYGOODNESS!!! I have never been so dissappointed in a Sonic Restaurant ( or any other restaurant,for that matter) in my life! Placing the order was like pulling rotten teeth! Fragmented and painful! Bridgette was not only rude but completely uncaring. Our order came out wrong all around. No napkins, no condiments, no hellos or smiles! The drinks tasted spoiled! This Sonic was sooooo bad it makes me give all other Sonics a second guess. 
Exit 195 in Bellevue, TN. 
A big fat 0 stars-minus 5 stars!",0,1,0,0
21510,7,1,2018-08-28,"Horrible drive thru service.  Girl at window asked me to hold for a quick second.  That second turned out to be 5 minutes just to take my order.  Then after the long wait,  another long wait just for her to pop out of the window.   Had to double check my order and was still missing a drink.  Keep in mind that there was only 1 other car ahead of me and I had a small order.  Pick up the pace Panda.  This is supposed to be fast food.",0,1,0,0
21511,2,5,2018-07-29,"Hey the 5$ pollo Bowl Combo is a great deal. Free refills to over 15 different beverages including about 5 different sweetened and unsweetened tea. Quick service, clean store, friendly staff.",1,0,0,0
21512,7,1,2017-08-20,"I picked up a quick bowl and spring rolls on Friday for lunch. Honey walnut shrimp over lo-mein. I ate half and it did taste good. But I immediately got a stomach ache that lasted for hours. I ignored & forgot about it. The next day on Saturday I ate the rest. It tasted good, but again, I got a stomach ache that lasted all day. It actually ruined my day.  I'm not sure what caused this, but I cannot go back to Panda Express.",0,1,0,0
21513,9,1,2018-02-26,Waited at pick up wibdow for almost 8 minutes until someone finally greeted us. Pizza was ok but the wings were horrible and the 3 garlic sauces we ordered and paod for we found out after we get home were not in the box like employee said they were. Very over priced for what we got,0,1,0,0
21514,9,1,2016-02-07,Decent food for a chain but the kids that work there have no manners or standards.Got a delivery tonight the driver forgot my soda and did not care or apologize to me. My pizza was a mess very little cheese some slices hade none. Bad employees there are giving Pizza Hut a bad name there. Third time and the last time there.,0,1,0,0
21515,3,1,2017-10-14,This place always awful and trashy! The staff was so rude and the buffet was completely empty. It took 20 minute to cook mac and cheese and chicken. THEY RAN OUT OF CHICKEN!  The manager April was extremely rude and that must be where The staff gets it from. They constantly rolled their eyes at us. We will NOT be back,0,1,0,0
21516,8,4,2017-02-17,"Service was fast and pleasant.

What I didn't like was when the lady handed me the food and she was like ""here"" but she said your welcome when I said thank-you. 

The McDonalds got renovated at this location and it looks better.",1,0,0,0
21517,1,4,2018-05-17,I really enjoy the consistency of this Wendy's.  The drive through is fast and the food is tasty.  I have never had an issue at this location.,1,0,0,0
21518,4,4,2016-08-29,"While this Sonic seems to have a bad reputation around here, I have been twice on my visit to Nashville.  Yes, it takes the car hops a few minutes to get out with your order. Yes, the menu is a Sonic menu of fast food. But that is typical for lots of Sonics across the country. 

The employees we have encountered have always been friendly, as fast as possible, not to mention helpful (brought us extra sauces in case!). Now that the slushy machine is back in action, I suggest folks try this Sonic again with a little patience for this as a popular location!",1,0,0,0
21519,5,4,2016-08-22,"The new renovation got me to try this place even other reviews kept giving negative reviews. It's taco bell, fast food Mexican chain in short.. Americanized Mexican food.. Don't expect anything close to a real Mexican taco. I'll be honest, the service was great! Food is not bad, I had to check my food as the other reviews said.. Nothing wrong with my food. And hey. Im still alive :)",1,0,0,0
21520,3,1,2017-08-14,"Very disappointed. I thought I would give the Zinger sandwich a try. I  ordered the Zinger Sandwich Plain Today through the drive thru, girl even said it back to me Plain however when I got home it had Mayo & lettuce! I don't eat Mayo & rather hard scrap it off! I tried calling # on Yelp rings and then goes to Fax machine sound!",0,1,0,0
21521,5,2,2016-08-18,"I am very disappointed in my visit to Taco Bell this evening.  My daughter and I ordered a #6 (2 chalupa supremes, crunchy taco, and a soft drink) and a Nachos Bell Grande.  The nachos bell grande were inedible with the chips being extremely stale and a big pile of beef (but what looked like refried beans) in the corner of the dish.  There was hardly any cheese at all.  I used to love Nachos Bell Grande but I won't be ordering it anymore. 

Also, the chalupas I ordered were supposed to be chicken, but I was given beef.  I didn't know this until I drove all the way home (15 minutes - we live far from a Taco Bell so it's a treat when we drive out to get it).  We were really excited to get Taco Bell tonight, but our overall meal was a huge disappointment.",1,0,0,0
21522,15,2,2018-04-22,"Great food, but SLOW AS HECK OH MY GOD SOS IF YOU ARE IN A HURRY. If you want *fast* ""fast food"" then go somewhere else. You will sit in the drive through for around half an hour nine times out of ten. Other than that, everything is fine, but man are they slow.",1,0,0,0
21523,4,1,2018-01-05,"False advertising. They close at 11:00 and I came at 10:05 and they wouldn't take my order. Instead, I got an entire dissertation as to why they're not open when they're supposed to be. The ""manager"" called me a liar when I told him that their advertising says 11 and not 10. I always come here but these people are not ethical at all. I'll probably file a complaint with the Better Business Bureau because it's poor customer service and poor operations.",0,1,0,0
21524,3,5,2016-10-13,"This particular KFC is very well run. Employees are always helpful and everything is fresh and cooked just right. The buffet is a great deal, especially for us old farts!",1,0,0,0
21525,7,1,2017-07-04,There is nothing fast about this fast food location. The drive thru takes 30 minutes to get through. No joke!,0,0,0,1
21526,3,1,2018-06-19,They show open until 11pm but pick and choose when to honor their posted hours of operation. Thanks for wasting my time and gas over and over!,1,0,0,0
21527,15,4,2016-01-03,"In Gallatin, this is one of the better places to eat great chicken. Their sauces are pretty good as well as their crinkle cut fries. The drink machine has every flavor add in known to man. It's like Sonic, but with good chicken...not the greatest analogy. It's good, you should go.",1,0,0,0
21528,3,5,2016-01-27,"Great value on the all you can eat buffet. $8.50 which includes a drink. Not bad at all for some great KFC food.  The hot food bar has a good selection of fresh and hot mashed potatoes, gravy, stuffing, several types of KFC chicken, and a cool bar which has the cold items like jello, cole slaw, puddings etc.  They have some fresh carrots and beets which is unusual in a fast food restaurant and these are good to nibble on after you have eaten your fill.  The staff here is always helpful, busy, yet attentive to the needs of a buffet style restaurant. If you need extra anything that they may be short of on the buffet bar, just ask them, and they will get it for you.  Its nice to take your time and relax and have a great KFC meal. I have been going to Kentucky Friend Chicken restaurants since 1966 when my grandmother used to bring it home for us.",1,0,0,0
21529,8,2,2018-02-18,"The employees are nice, but it's so slow and inefficient. Ive sat in the drive thru for more than 15 mins more than one time. If there's more than four cars in line don't even try it!",1,0,0,0
21530,8,3,2018-08-31,"This McDonald's location is good for uberEats and this is the way I usually order my food from this particular location. I haven't had any major issues with the quality of food that they provide, but sometimes my order is delivered incorrectly. I initially thought this was to the fault of the UberEats driver but I realized the order is transmitted directly to the restaurant and they make it to order before the driver is dispatched to pick up the order. 

I have attempted multiple times to try and eat in the dining area of this establishment but it's either too crowded or the service is shoddy at best. 

I'll continue to order from this place as an UberEats choice, but I'm not too sure I'm going to be stepping foot inside unless I visibly see it isn't busy.",1,0,0,0
21531,6,5,2018-05-18,"Awesome service,  very clean.. love the Mango flavor of the month! Sarina helped me out, you could tell the whole team was focused on the customer experience!",1,0,0,0
21532,7,1,2017-09-15,"This probably the worst Panda Express I've gone to. If I could take away a star from their rating I would. I've gone to the location a couple times and EVERY TIME their service and food sucks. Not only did they mess up all three of my orders the ""manager"" Patricia, fail to at least listen to my complaint. I got my orders to go so there wasn't very much I could do after I got home. Keep in mind I wasn't asking for a refund or new plates, I simply want to make them aware of their mistakes. 

Here's what I ordered:
1st plate- broccoli and beef, sesame chicken and fried rice
2nd plate- half fried rice, half white rice and mixed veggies only teriyaki sauce on the side
3rd plate- kids meal chicken teriyaki, half fried rice and half mixed veggie with a lemonade 

What I got:
1st plate: orange chicken, sesame chicken and fried rice
2nd plate- half friend rice half chow mein and mixed veggies 
3rd plate- chicken teriyaki, half chow mein and half fried rice; no sauce at all for teriyaki, lemonade was more like water with a hint of lemon

When I spoke with the manager she argued that the teriyaki sauce for the TERIYAKI CHICKEN was only given on request, I should tasted the lemonade before driving off, and that she was not going to compensate for their mistakes. I didn't want to be compensated. The food sucked anyway.I just wanted to let them know the change their lemonade! Instead I got attitude and was told it was my fault they serviced me the wrong food.",0,1,0,0
21533,8,2,2017-11-22,"Ye gads. Literally the rudest people at the cash registers ever.  The one who took my order couldn't even be bothered to stand straight up. She just draped her tired body over the top of the register. God knows what buttons her boobs were pressing on the touch screen.

She laughed at what I ordered (kids meal with 4 chicken nuggets, chocolate milk, no toys needed because it was for me).

My order number on my receipt was something like 201.  They called out 101 numerous times. After waiting for quite a bit, I finally asked if 101 happened to be the same order as what my receipt showed. It was. They were just too stupid to call out 201.",0,1,0,0
21534,3,1,2017-05-20,"This used to be one of the best KFC Buffets around, and I used to come here a lot, but on a recent visit, I was disappointed. At 1PM on a Saturday, the steam trays were pretty much empty, except for a few vegetable items, there were no dessert items, the wait time at the counter was too long, there were no forks, and the men's room was filthy with an inch of water on the floor. I hope I just caught them on a bad day, and that they will get their act together.",0,1,0,0
21535,8,5,2016-03-25,"It's McDonalds, if you're looking for salty fries, a double cheeseburger and a fountain Coca-Cola after a long days work. Go and indulge.

Honestly, I like this McDonalds because the staff at the windows are super nice. Things like, ""here's your food, boss"", ""I like those sunglasses"", they just have positive energy.",1,0,0,0
21536,2,5,2018-08-04,"Best El Pollo Loco bc the chicken is grilled to perfection, customer service is very engaging, salsa bar is clean and always fully stocked",1,0,0,0
21537,14,5,2017-12-24,Excellent service and good AW style breakfast...good branch...very efficient and cheerful staff...,1,0,0,0
21538,7,1,2018-05-06,My family and I have vomiting all night .. This is really sad that we simply by lunch on Saturday and are so sick we probably will lose money because we can't work on Monday..Warning!!!Warning!!!! WARNING!!!!!!!!!!!!,0,1,0,0
21539,4,4,2017-01-09,"Im updating our score as our last few visits have been much improved. Friendly, fast service and correct orders are appreciated and will mean we can stop here again for snacks and our fastfood fix.",1,0,0,0
21540,9,1,2017-04-02,This is the worse Pizza Hut I've ever been to. First our server was just clocking in and didn't rush much to get to us. Then we ordered a pasta dish with bread sticks and they brought them when we were getting up to leave because we were done eating. One other thing our waitress never checked on us once. There was one other couple in the entire place.,0,1,0,0
21541,2,4,2017-05-20,"Still a great location. Clean, employees seem to care about the food they serve. Always pleasant and they show you your contents of your order before you leave. Fantastic!!",1,0,0,0
21542,8,5,2018-04-02,"I got five mc chickens and two large fries from this McDonald's. It was sooooo good. Literally I was in McHeaven it was sooo good. Now I know most people think McDonald's makes shit food but not this one. The chicken was perfectly cooked , juicy. Would recommend this McDonald's.",1,0,0,0
21543,10,4,2016-05-25,"Super moist yet crispy chicken. Love most of the sides, but think the mac & cheese is a little lacking.  The staff is very courteous and it's clean. The location is kind of odd so it's easy to pass by; however it's worth the stop if you are in the area.",1,0,0,0
21544,4,1,2017-05-07,"Driest piece of chicken I've ever had. Don't eat much fast food and this reminds me why. Also, tots were cold.",0,0,0,1
21545,3,1,2016-07-01,I have been a lover of KFC for many years. After coming to this location I might never eat it again. This place is a filthy pigsty! I went with my family for the buffet. After we paid and got our plates we were not able to put much on them because most item were empty. The counter were the buffet is was filthy. Nobody wiped it down the whole time we were there. Don't think we will ever eat there again. Then to top it off before we left I went to use the men's room. I opened the door and it was totally disgusting. Filthy water was actually pouring down through the bathroom ceiling so you could not even use the bathroom. This place needs to be shut down immediately!,0,1,0,0
21546,7,1,2017-04-26,"This is by far the worst Panda Express location I have ever been to. I've been here a few times, and every time I have been disappointed! For starters, the food is usually more bland than most other Panda locations. The worst thing about this location is the wait time!! EVERY SINGLE TIME I have gone through the drive-thru, I have waited no less than 20 minutes to get my food. I once had to wait close to 40 minutes stuck in line because there's no where to leave through. The last time I went, they were out of several food options, including chow mein. For some reason, every time I decide to go I have a little hope that it will be better, but that's never been the case. Pretty safe to say that I will now go out of my way to the location at the Spectrum to get my food and never give this location my business again!",1,0,0,0
21547,16,1,2018-11-09,"Every time I go in the store the people were very unfriendly. Nobody smiles they act like they hate their job, and when you ask a question oh I don't know that's the answer you get it. When you try to sit down at a table all the booth near the windows are filthy every single time I go in there. And you're never busy so I don't understand why the store can't be clean. They need to get some friendly people and learn how to clean and stock the lids. And when You asked if there's a manager around They say no there's no manager here tonight they'll be here in the morning. So who's running the show a couple of teenage kids seriously place is horrible",0,1,0,0
21548,7,1,2017-04-12,"This locations drive-thru is awful. Seriously, the epitome of bad. Takes about 30 minutes to get through the entire drive-thru and you're lucky if your order is accurate. By the time you get home to eat your food, it is cold and dry. It is easier to drive to the Spectrum Panda Express, park & get your food...it is worth the inconvenience for an accurate & warm meal.",0,1,0,0
21549,1,1,2017-02-02,"If using a debit/credit card, check your receipt against your bank statement, I've been waiting for a call back from the stores manager since 1-6-17 to resolve my issue from 12-22-16. I will not visit this Wendy's again and I will inform everyone I know of what happened!",1,0,0,0
21550,10,5,2016-01-01,"Every time I come to Pottstown to see my family one of my favorite stops is Jerry's. The rotisserie chicken, baked beans, and hush puppies are my favorite items. My husband not from Pottstown, says this place serves one the best chickens ever.",1,0,0,0
21551,3,1,2017-10-19,"So filthy,  the soda machine had dark brown build up on drain grates and drain gutter was totally  disgusting  tables dirty and floors needed mopping, trash cans over flowing.  The buffet was really gross looking and had old dried up mac and cheese no mashed potatoes I was told they where making some and it would be about 20 minutes and out of biscuits and they would be ready in about 15.  It was 5:30 you would think the manager would be able to plan ahead for a dinner crowd, not that is was really busy.  They must have a new unqualified manager as the old manager that knew how to run the place is gone.  To bad, it is a no go now.",0,1,0,0
21552,7,2,2016-06-06,Good food but the wait is ridiculously long. Waited at the drive through 25 min no way to get out of there.,0,1,0,0
21553,5,5,2017-08-15,"Service was fast and order was correct.  Grounds and parking lot well maintained and groomed. Both young ladies at each window were all smiles,  very pleasant and courteous.",1,0,0,0
